1170077963 : 0 : [339, 6094, 480, 1282798155, 1158, 40, 0, 220L, 0, 23, 1L, 2L, 56, 90616.2]
2034285354 : 0 : [2, 6, 24, 1300908511, 146, 0, 0, -1L, 1, 38, 2L, 4L, 34, 15953.5]
2558923163 : 1 : [20, 71, 68, 1325091284, 42, 0, 0, -1L, 0, 0, 0, 0, 33, 126685.5]
1982800313 : 0 : [505, 1855, 947, 1298332908, 1083, 1, 1, 0, 1, 14, 1L, 4L, 33, 43489.7]
2396173970 : 1 : [60, 68, 88, 1316089845, 136, 0, 0, -1L, 1, 0, 4L, 2L, 80, 344364.1]
2927723907 : 0 : [0, 1043, 4, 1345742715, 153102, 0, 0, -1L, 0, 75, 8L, 2L, 48, 671.3]
1718068257 : 1 : [1, 1874, 1348, 1269487007, 195, 0, 0, -1L, 0, 0, 0, 1L, 63, 2.2]
2175864324 : 1 : [19, 338, 101, 1308187039, 67, 0, 0, -1L, 1, 0, 55L, 16L, 41, 160980.0]
2638742314 : 1 : [34, 151, 66, 1325103514, 59, 0, 0, -1L, 0, 0, 0, 0, 81, 54381.7]
2002888491 : 1 : [14, 261, 696, 1301111276, 354, 0, 0, -1L, 1, 0, 0, 0, 92, 366289.5]
2359356321 : 0 : [91, 65, 169, 1316116751, 5340, 0, 1, 0, 0, 39, 2L, 2L, 10, 273621.1]
1875224327 : 0 : [418, 890, 570, 1290798256, 575, 11, 0, 220L, 1, 9, 1L, 4L, 4, 135338.9]
1087770692 : 0 : [478, 3594, 479, 1258150300, 52633045, 43, 1, 0, 1, 8, 5339L, 3775L, 65, 57312.9]
2455808493 : 1 : [51, 207, 123, 1320872839, 106, 0, 0, -1L, 1, 0, 0, 0, 32, 181195.9]
2145908922 : 0 : [82, 170, 124, 1304957860, 105, 1, 0, -1L, 0, 16, 6L, 3L, 23, 821509.9]
1496874104 : 0 : [1429, 48914, 1762, 1257040020, 19114, 1521, 1, 0, 0, 15, 3L, 1L, 23, 345.1]
1801969163 : 0 : [53, 1181, 114, 1282704266, 111, 3, 0, -1L, 1, 0, 0, 3L, 16, 135046.55555555556]
3185244092 : 1 : [6, 1226, 1246, 1361844773, 333, 0, 0, -1L, 0, 0, 0, 0, 66, 0.5]
2487436517 : 1 : [31, 320, 167, 1322066083, 68, 0, 0, -1L, 1, 0, 0, 0, 42, 159815.7]
2722723393 : 0 : [744, 2260, 871, 1335669964, 201830, 1671, 0, -1L, 1, 46, 23L, 7L, 57, 14984.0]
3061024765 : 1 : [50, 369, 1103, 1351106849, 140, 0, 0, -1L, 1, 7, 1L, 1L, 12, 12508.4]
2560414733 : 1 : [9, 2508, 1587, 1325183130, 98, 0, 0, -1L, 0, 0, 0, 0, 66, 4.9]
1642635773 : 0 : [11, 60693, 14, 1251512052, 5476733, 992, 0, -1L, 0, 66, 224L, 74L, 49, 533.0]
2356866101 : 1 : [1, 17, 5, 1316005630, 43, 0, 0, -1L, 0, 0, 6L, 6L, 63, 1028038.5]
2396368720 : 1 : [34, 68, 92, 1316096618, 57, 0, 0, -1L, 1, 0, 0, 1L, 87, 715975.4]
2491313897 : 1 : [75, 668, 135, 1322238886, 149, 0, 0, -1L, 0, 0, 0, 0, 43, 91942.6]
1936399501 : 0 : [10, 351, 53, 1296144731, 866, 2, 0, -1L, 1, 73, 4L, 4L, 133, 241702.2]
3071323245 : 1 : [11, 510, 688, 1351248932, 397, 0, 0, -1L, 1, 19, 0, 1L, 48, 72707.6]
1510528890 : 1 : [87, 75, 154, 1281886389, 112, 0, 0, -1L, 0, 0, 4L, 4L, 85, 433506.77777777775]
1686208823 : 1 : [8, 2434, 1302, 1309353307, 267, 0, 0, -1L, 1, 0, 0, 0, 77, 2.8]
1831216671 : 0 : [153, 996, 180, 1287266371, 7225703, 7, 1, 0, 1, 0, 444L, 299L, 71, 97814.2]
2230420737 : 1 : [7, 453, 159, 1309991463, 34, 0, 0, -1L, 0, 13, 7L, 7L, 82, 1.8]
1527926862 : 0 : [139, 909, 360, 1299280697, 237, 3, 0, 220L, 0, 33, 0, 2L, 14, 137391.6]
1270030831 : 0 : [405, 1790, 540, 1276264100, 1019, 0, 1, 0, 1, 15, 1L, 4L, 26, 240975.9]
2107940923 : 0 : [84, 154, 132, 1303925774, 694, 2, 0, -1L, 0, 3, 3L, 3L, 28, 377617.3]
3177310560 : 0 : [49, 403, 998, 1361395368, 268, 0, 0, -1L, 1, 36, 0, 0, 113, 7295.3]
2397183002 : 1 : [0, 15, 3, 1316119506, 44, 0, 0, -1L, 1, 0, 3L, 3L, 84, 484999.5]
1157539917 : 0 : [1380, 5635, 1610, 1253130381, 200274, 1, 1, 0, 1, 43, 45L, 8L, 92, 26469.5]
2396459052 : 1 : [14, 64, 34, 1316099160, 130, 0, 0, -1L, 0, 0, 3L, 3L, 88, 715903.1]
2061220533 : 0 : [10, 912, 23, 1301754700, 84190, 1, 1, 0, 1, 0, 131L, 68L, 50, 111821.0]
2397192292 : 1 : [0, 15, 5, 1316119795, 37, 0, 0, -1L, 0, 0, 3L, 3L, 83, 522985.5]
1813080181 : 0 : [1645, 82022, 2015, 1283826246, 11889507, 1610, 1, 0, 1, 42, 1045L, 1739L, 3, 311.0]
2152545964 : 1 : [8, 298, 661, 1322929428, 355, 0, 0, -1L, 0, 0, 0, 0, 68, 16623.7]
2697341944 : 0 : [62, 90, 378, 1328108548, 203, 0, 0, -1L, 0, 10, 4L, 4L, 5, 389664.6]
1266286555 : 0 : [506, 2591, 626, 1251494054, 29391836, 13, 1, 0, 1, 0, 1549L, 7765L, 16, 8440.4]
1644779314 : 0 : [869, 5570, 1518, 1252031413, 65096, 82, 1, 0, 0, 84, 3L, 3L, 38, 28998.8]
1897149655 : 0 : [63, 114, 538, 1292900217, 531, 3, 0, -1L, 1, 47, 3L, 6L, 29, 1517949.8]
2838985807 : 1 : [17, 1218, 854, 1341006676, 177, 0, 0, -1L, 1, 47, 0, 0, 77, 5703.5]
1833198405 : 0 : [239, 1901, 302, 1287456221, 492, 85, 0, 220L, 1, 0, 2L, 1L, 13, 253084.1]
1896400971 : 0 : [91, 335, 99, 1292698645, 23142, 0, 1, 0, 1, 53, 7L, 3L, 18, 125295.7]
1220078607 : 0 : [1353, 5382, 1357, 1251494098, 63016, 10, 1, 0, 0, 37, 5L, 4L, 61, 22578.8]
1258256457 : 0 : [353, 19550, 420, 1274311668, 602226, 6, 1, 0, 1, 13, 88L, 20L, 113, 1131.3]
1235348901 : 1 : [0, 1496, 876, 1314799901, 524, 0, 0, -1L, 1, 0, 0, 0, 73, 0.6]
1711064324 : 0 : [9, 102, 25, 1297970514, 78, 1, 0, -1L, 1, 0, 1L, 0, 72, 661032.7]
2060261037 : 0 : [40, 197, 79, 1306258397, 106, 0, 0, -1L, 1, 0, 0, 2L, 14, 319847.8]
2358978785 : 1 : [0, 1, 1, 1316109066, 0, 0, 0, -1L, 1, 0, 3L, 3L, 82, 0.0]
2082306984 : 0 : [758, 2323, 934, 1306188408, 113908, 43, 0, -1L, 0, 66, 36L, 11L, 42, 15265.4]
1554218983 : 0 : [571, 3474, 1404, 1264174239, 1272, 2375, 0, 220L, 0, 13, 1L, 10L, 73, 22167.7]
1703002955 : 0 : [958, 3872, 1742, 1267498613, 2465, 9, 0, -1L, 1, 31, 0, 1L, 36, 215162.3]
2003347594 : 0 : [32, 7805, 53, 1300083558, 998165, 10, 0, -1L, 0, 38, 148L, 31L, 76, 12498.2]
1777924625 : 0 : [100, 1039, 116, 1279442287, 10031320, 182, 1, 0, 0, 0, 1830L, 4242L, 44, 265291.3]
1719626477 : 1 : [82, 2487, 1319, 1337269897, 267, 0, 0, -1L, 1, 13, 0, 0, 90, 0.5]
1789743822 : 0 : [77, 1031, 212, 1286557977, 258, 45, 0, 220L, 1, 9, 0, 2L, 29, 111128.1]
1305972435 : 0 : [868, 7270, 991, 1251494060, 116327, 59, 1, 0, 0, 60, 69L, 58L, 121, 21596.8]
1668581575 : 0 : [111, 9706, 167, 1260462048, 1130336, 17, 1, 0, 1, 11, 6L, 3L, 32, 88982.2]
2394290882 : 1 : [0, 14, 1, 1316010517, 24, 0, 0, -1L, 0, 0, 7L, 7L, 72, 378781.3]
1861516332 : 0 : [198, 780, 403, 1287968346, 392, 0, 0, -1L, 0, 11, 2L, 2L, 12, 509396.2]
2272022545 : 1 : [342, 281, 915, 1311800066, 1080, 0, 0, -1L, 0, 0, 2L, 2L, 101, 22695.9]
2789169452 : 0 : [6, 8617, 14, 1339475799, 2198805, 0, 0, -1L, 0, 24, 273L, 19L, 50, 5150.2]
1510292463 : 1 : [56, 53, 121, 1281961219, 89, 0, 0, -1L, 0, 0, 3L, 3L, 76, 213195.88888888888]
1662717013 : 0 : [198, 3592, 211, 1258868805, 5639595, 25, 1, 0, 1, 0, 121L, 45L, 17, 29380.9]
1663084643 : 0 : [223, 1698, 586, 1259010283, 1883, 245, 0, 220L, 0, 14, 0, 10L, 30, 413773.1]
2396549592 : 1 : [1, 28, 17, 1316102818, 57, 0, 0, -1L, 1, 0, 3L, 3L, 54, 317765.2]
1197784905 : 0 : [97, 1035, 383, 1277144829, 446, 30, 0, 220L, 1, 6, 7L, 4L, 18, 1588560.2]
1740577714 : 0 : [671, 92601, 1660, 1273681690, 4041274, 34, 0, -1L, 0, 74, 283L, 46L, 57, 1139.2]
1495980410 : 0 : [221, 571, 799, 1254928250, 711, 721, 0, -1L, 0, 4, 19L, 8L, 40, 194064.6]
1647932875 : 0 : [544, 4299, 657, 1253224469, 5786, 17, 1, 0, 1, 15, 17L, 2L, 18, 157595.4]
2626549782 : 1 : [35, 127, 74, 1324561049, 54, 0, 0, -1L, 0, 0, 0, 1L, 36, 153265.3]
2397188232 : 1 : [1, 17, 4, 1316119659, 43, 0, 0, -1L, 0, 0, 4L, 4L, 86, 505173.3]
1539469391 : 0 : [1770, 19513, 1942, 1258428790, 240328, 11, 1, 0, 1, 74, 13L, 11L, 45, 15617.7]
1838607190 : 1 : [3, 35, 44, 1286032264, 52, 0, 0, -1L, 1, 0, 6L, 6L, 58, 407790.7]
1528399461 : 0 : [1221, 2875, 1776, 1251413488, 22119, 14, 1, 0, 1, 22, 297L, 62L, 100, 386718.8]
1639073802 : 0 : [1351, 10415, 1559, 1251495285, 186786, 412, 1, 0, 1, 6, 1L, 2L, 11, 42982.5]
2356989505 : 1 : [0, 14, 5, 1316012157, 39, 0, 0, -1L, 1, 0, 7L, 7L, 86, 582257.3]
1904998720 : 0 : [176, 4669, 1760, 1298512032, 533, 1496, 0, 220L, 1, 46, 1L, 1L, 30, 104106.2]
1671342103 : 0 : [215, 2854, 225, 1261165949, 7691166, 79, 1, 0, 0, 0, 2968L, 1226L, 84, 63051.3]
2014636085 : 0 : [47, 107, 118, 1299647679, 88, 8, 0, -1L, 1, 34, 0, 2L, 39, 1253484.1]
1517243731 : 0 : [0, 4730, 0, 1255141909, 1274, 349, 0, -1L, 1, 24, 1L, 3L, 29, 1588025.9]
2356954275 : 1 : [0, 13, 1, 1316010439, 23, 0, 0, -1L, 1, 0, 4L, 4L, 85, 466598.2]
3251464291 : 1 : [20, 579, 660, 1364314020, 163, 0, 0, -1L, 1, 25, 0, 0, 66, 7.9]
2192631895 : 1 : [12, 872, 218, 1308804430, 1004, 0, 0, -1L, 1, 0, 0, 0, 87, 4055.6]
2396820102 : 1 : [2, 5, 5, 1316109078, 2, 0, 0, -1L, 1, 0, 3L, 3L, 91, 4483484.4]
1924040994 : 1 : [2, 402, 448, 1295746007, 102, 0, 0, -1L, 0, 0, 3L, 3L, 54, 0.6]
1989582883 : 0 : [164, 202, 217, 1301690099, 4150, 55, 1, 0, 1, 0, 6L, 4L, 47, 1330861.1]
2359045107 : 1 : [0, 18, 2, 1316094238, 42, 0, 0, -1L, 1, 0, 3L, 3L, 85, 484343.0]
2358406265 : 1 : [7, 132, 35, 1316095889, 56, 0, 0, -1L, 1, 0, 7L, 7L, 90, 465710.7]
1878462700 : 0 : [288, 1282, 504, 1289752450, 1057, 4, 1, 0, 1, 14, 8L, 2L, 24, 382772.6]
2358706441 : 1 : [0, 14, 45, 1316104054, 21, 0, 0, -1L, 0, 0, 5L, 5L, 82, 484969.9]
1228977142 : 0 : [1512, 9667, 1991, 1251495365, 3600823, 13, 1, 0, 1, 58, 138L, 37L, 121, 19336.4]
1858206952 : 0 : [132, 71, 633, 1287504991, 389, 0, 0, -1L, 1, 20, 3L, 4L, 20, 471634.9]
1882386593 : 0 : [429, 1499, 551, 1291515301, 184902, 119, 1, 0, 1, 73, 195L, 123L, 50, 70258.8]
1195403385 : 0 : [28, 11684, 28, 1251495364, 4834044, 3252, 1, 0, 1, 50, 6407L, 950L, 72, 6135.8]
1627235340 : 1 : [3, 34, 44, 1359064380, 51, 0, 0, -1L, 1, 0, 5L, 5L, 61, 445341.1]
2395989312 : 1 : [2, 54, 12, 1316068292, 46, 0, 0, -1L, 0, 0, 2L, 2L, 67, 413287.9]
1744569073 : 0 : [706, 1976, 963, 1274420980, 754, 1966, 0, -1L, 1, 21, 0, 2L, 58, 543512.1111111111]
1290760094 : 1 : [4, 340, 1999, 1320517543, 46, 0, 0, -1L, 1, 0, 1L, 1L, 4, 33534.5]
1496850204 : 0 : [846, 12184, 854, 1254003118, 3121023, 428, 1, 0, 1, 4, 587L, 62L, 6, 39030.5]
1647382232 : 0 : [1325, 2448, 1474, 1253026753, 8678, 1966, 1, 0, 0, 47, 2L, 12L, 48, 29708.0]
2838076205 : 1 : [9, 1120, 1007, 1340936687, 136, 0, 0, -1L, 0, 29, 0, 0, 63, 0.4]
1494759712 : 0 : [285, 7421, 369, 1251429326, 300297, 28, 1, 0, 1, 75, 66L, 26L, 94, 9869.2]
2396821420 : 1 : [2, 5, 5, 1316109089, 5, 0, 0, -1L, 0, 0, 3L, 3L, 92, 4483533.8]
2396818800 : 1 : [8, 17, 53, 1316109032, 17, 0, 0, -1L, 1, 0, 5L, 3L, 49, 1458927.7]
1751297097 : 0 : [106, 439, 266, 1303424795, 165, 49, 0, -1L, 1, 11, 0, 2L, 53, 93194.5]
2138544502 : 1 : [0, 9, 4, 1316012255, 9, 0, 0, -1L, 1, 0, 0, 0, 70, 339006.6]
2787218820 : 1 : [0, 1395, 859, 1335812700, 270, 0, 0, -1L, 1, 20, 0, 0, 70, 0.4]
2833001477 : 1 : [13, 798, 1308, 1340701156, 188, 0, 0, -1L, 1, 64, 0, 1L, 9, 6353.1]
2358302895 : 1 : [11, 76, 59, 1316089092, 29, 0, 0, -1L, 0, 0, 5L, 5L, 86, 595112.7]
3242479294 : 1 : [38, 3183, 1432, 1364940079, 242, 0, 0, -1L, 1, 32, 0, 0, 70, 974292.9]
2652956921 : 0 : [2, 4469, 16, 1331247316, 165671, 0, 0, -1L, 0, 18, 13L, 1L, 20, 8485.1]
1222148925 : 0 : [604, 7094, 837, 1265054257, 204374, 270, 1, 0, 0, 60, 138L, 48L, 87, 92530.0]
2358976405 : 1 : [5, 17, 16, 1316109026, 11, 0, 0, -1L, 1, 0, 5L, 3L, 64, 1458928.9]
2244272300 : 1 : [6, 2417, 1785, 1310598145, 237, 0, 0, -1L, 0, 0, 0, 0, 60, 0.2]
1657458643 : 0 : [65, 668, 114, 1299266557, 510, 53, 0, -1L, 0, 18, 2L, 4L, 94, 180928.3]
3496712970 : 1 : [40, 347, 448, 1371866837, 427, 0, 0, -1L, 0, 25, 0, 0, 51, 20795.3]
2396775162 : 1 : [2, 11, 4, 1316109055, 3, 0, 0, -1L, 1, 0, 5L, 2L, 79, 2244532.6]
2125107057 : 1 : [0, 1654, 708, 1305038716, 72, 0, 0, -1L, 1, 0, 0, 0, 49, 3.3]
3108589291 : 1 : [189, 1057, 202, 1352575478, 386, 0, 0, 220L, 0, 5, 266L, 69L, 67, 455354.4]
3169530725 : 1 : [368, 1311, 1258, 1354652703, 692, 0, 0, 220L, 1, 36, 0, 0, 104, 1.2]
2128579387 : 0 : [129, 937, 150, 1305156404, 16076, 65, 0, -1L, 0, 4, 4L, 15L, 52, 8739.1]
2359651273 : 1 : [12, 7, 16, 1316109082, 20, 0, 0, -1L, 1, 0, 3L, 2L, 67, 3202537.1428571427]
2247430582 : 0 : [200, 1539, 927, 1310756445, 760, 129, 0, 220L, 0, 22, 1L, 3L, 50, 901154.1]
1896559412 : 0 : [151, 935, 373, 1292262187, 14430, 131, 1, 0, 1, 55, 4L, 3L, 114, 19700.2]
1140033950 : 0 : [183, 1909, 285, 1294436350, 235, 0, 0, 220L, 1, 15, 2L, 1L, 24, 46854.9]
1270171483 : 1 : [18, 98, 52, 1298431494, 86, 0, 0, -1L, 0, 0, 9L, 9L, 75, 192929.2]
1886387403 : 0 : [88, 1325, 148, 1291997509, 4672, 14, 1, 0, 0, 4, 1L, 1L, 15, 82523.3]
2396639344 : 1 : [0, 14, 3, 1316104044, 37, 0, 0, -1L, 1, 0, 3L, 3L, 82, 484989.1]
2454995993 : 1 : [2, 718, 1301, 1320855750, 237, 0, 0, -1L, 0, 0, 6L, 6L, 111, 1.4]
3165514965 : 1 : [237, 849, 991, 1353961772, 606, 0, 0, 220L, 1, 0, 0, 0, 52, 1.4]
1743823837 : 0 : [69, 600, 285, 1274292029, 1856, 1, 0, -1L, 1, 0, 18L, 15L, 46, 1975300.3]
1198920804 : 0 : [84, 3368, 112, 1251495248, 33971298, 26, 1, 0, 0, 0, 3189L, 199L, 8, 25531.1]
1423125663 : 0 : [92, 938, 320, 1257041736, 167, 529, 0, -1L, 0, 14, 0, 2L, 31, 234304.4]
2358983867 : 1 : [42, 66, 70, 1316089871, 114, 0, 0, -1L, 1, 0, 5L, 5L, 63, 395623.9]
1285799280 : 0 : [83, 933, 173, 1299782370, 157, 54, 0, -1L, 0, 24, 0, 1L, 69, 610873.9]
1763817002 : 0 : [196, 1563, 494, 1276966627, 404, 28, 0, 220L, 0, 15, 1L, 3L, 27, 84987.4]
1713950887 : 1 : [18, 238, 671, 1277570333, 351, 0, 0, -1L, 0, 0, 0, 0, 103, 366286.1]
1682298970 : 0 : [259, 490, 266, 1274250059, 4532, 21, 1, 0, 1, 39, 9L, 15L, 51, 160123.2]
1189591617 : 0 : [628, 3992, 688, 1251495363, 7326529, 7, 1, 0, 1, 2, 6403L, 1754L, 44, 65430.77777777778]
1826255462 : 0 : [102, 1092, 203, 1285239099, 192, 136, 0, -1L, 0, 0, 2L, 2L, 8, 278815.1]
2358872467 : 1 : [2, 64, 12, 1316068257, 47, 0, 0, -1L, 0, 0, 2L, 2L, 66, 412371.4]
2067331943 : 0 : [823, 29673, 2219, 1301944984, 1498292, 39, 0, -1L, 0, 9, 86L, 17L, 43, 515.7]
1644569641 : 0 : [423, 11126, 529, 1251947748, 6372, 241, 0, -1L, 1, 18, 2L, 1L, 18, 50633.6]
2624557331 : 1 : [2, 26, 111, 1329788800, 17, 0, 0, -1L, 1, 0, 2L, 3L, 49, 222864.7]
1629122922 : 0 : [311, 3431, 499, 1254266517, 4400, 567, 0, -1L, 0, 69, 1L, 1L, 72, 325300.2]
2396367470 : 1 : [15, 45, 50, 1316096583, 44, 0, 0, -1L, 1, 0, 7L, 7L, 87, 602379.6]
2397183764 : 1 : [0, 14, 3, 1316119523, 45, 0, 0, -1L, 0, 0, 3L, 3L, 88, 659244.0]
1911313045 : 0 : [1568, 8082, 1610, 1294169606, 126555, 139, 1, 0, 1, 55, 37L, 7L, 68, 103711.4]
1706372681 : 0 : [419, 4570, 555, 1267987268, 440633, 23, 1, 0, 1, 41, 371L, 135L, 159, 14601.7]
2329054997 : 0 : [0, 1472, 0, 1314586282, 337692, 0, 0, -1L, 1, 18, 110L, 12L, 128, 18715.9]
1829683143 : 0 : [38, 828, 264, 1287069464, 321, 17, 0, -1L, 0, 9, 0, 1L, 42, 190023.1]
3226549954 : 1 : [18, 2615, 1546, 1365377057, 119, 0, 0, -1L, 1, 0, 0, 0, 87, 2146.8]
1764535655 : 0 : [994, 2463, 1083, 1277838240, 338454, 6, 0, -1L, 0, 73, 11L, 1L, 55, 61019.3]
3123602604 : 1 : [54, 460, 446, 1358204793, 74, 0, 0, -1L, 0, 35, 0, 0, 54, 17.4]
1497453537 : 0 : [399, 15272, 414, 1255925932, 45783, 15, 1, 0, 1, 61, 1L, 1L, 70, 9841.0]
2539223522 : 0 : [18, 10, 446, 1321539887, 24, 0, 0, -1L, 0, 15, 0, 0, 28, 212959.0]
1877379911 : 0 : [987, 1772, 1339, 1291049283, 1226, 282, 0, 220L, 0, 78, 1L, 5L, 34, 72519.9]
1742566624 : 0 : [1327, 26192, 1940, 1274047746, 2023742, 2, 1, 0, 1, 52, 868L, 130L, 88, 1477.4]
2397145784 : 1 : [1, 16, 5, 1316119669, 43, 0, 0, -1L, 1, 0, 4L, 4L, 85, 505181.2]
3294816643 : 1 : [45, 4641, 905, 1361998409, 126, 0, 0, -1L, 1, 0, 0, 0, 61, 0.4]
1644050922 : 0 : [1093, 6765, 1765, 1251750985, 20620, 63, 0, -1L, 1, 17, 3L, 5L, 65, 25065.4]
1170044634 : 0 : [375, 2562, 1873, 1265041847, 874, 25, 0, 220L, 1, 36, 4L, 1L, 6, 144212.6]
1400355692 : 0 : [96, 1948, 872, 1269198797, 348, 4523, 0, 220L, 1, 69, 0, 0, 5, 11195.0]
1560906700 : 0 : [263, 6782, 452, 1251495377, 11771, 2404, 1, 0, 1, 40, 22L, 5L, 98, 193510.1]
2140583293 : 0 : [19, 1214, 32, 1306286175, 265245, 2, 0, -1L, 0, 69, 98L, 15L, 35, 19237.7]
1879985463 : 0 : [125, 132, 216, 1291314371, 318, 4, 0, -1L, 1, 24, 5L, 4L, 65, 2650471.3]
2394286524 : 1 : [0, 11, 63, 1316012219, 9, 0, 0, -1L, 1, 0, 0, 0, 87, 580852.1]
3285539917 : 1 : [4, 2571, 1344, 1361138490, 181, 0, 0, -1L, 1, 24, 0, 0, 66, 264.8]
1654064683 : 0 : [342, 3472, 436, 1255700114, 1294, 1528, 0, -1L, 1, 21, 4L, 8L, 46, 202976.4]
3029069393 : 1 : [54, 276, 93, 1351264981, 88, 0, 0, -1L, 0, 0, 45L, 12L, 31, 138580.1]
1649005320 : 0 : [138, 667, 151, 1253652445, 10750775, 56, 1, 0, 1, 17, 3271L, 647L, 62, 413129.0]
1646446167 : 0 : [1843, 9540, 2155, 1252689231, 720008, 82, 1, 0, 1, 77, 133L, 22L, 13, 36367.0]
2422783757 : 0 : [28, 175, 59, 1319301843, 87, 4, 0, -1L, 1, 8, 1L, 1L, 9, 1370721.9]
2436207751 : 1 : [67, 731, 537, 1320082912, 173, 0, 0, -1L, 1, 46, 0, 0, 76, 3.7]
1705273315 : 0 : [372, 8216, 517, 1267820619, 22644, 338, 1, 0, 1, 5, 34L, 3L, 22, 28469.2]
1497698300 : 0 : [563, 1615, 1726, 1251495269, 114940, 42, 1, 0, 1, 56, 3L, 2L, 26, 14422.5]
1443516130 : 0 : [327, 1325, 715, 1251500878, 11735, 2103, 0, 220L, 0, 11, 1L, 1L, 47, 22834.0]
1880567801 : 0 : [1722, 6126, 1837, 1291351899, 44053, 37, 0, -1L, 0, 60, 40L, 6L, 34, 12178.7]
2645783593 : 0 : [157, 478, 165, 1330884038, 82137, 0, 0, 220L, 0, 84, 223L, 425L, 52, 1118512.0]
2388100150 : 1 : [1, 17, 181, 1315757902, 11, 0, 0, -1L, 1, 0, 5L, 4L, 66, 325468.4]
2689779663 : 0 : [66, 84, 88, 1333255284, 219, 0, 0, -1L, 1, 13, 6L, 11L, 57, 1744654.3]
3177132621 : 1 : [705, 540, 706, 1354849547, 1117, 0, 0, 220L, 0, 10, 0, 1L, 27, 28523.5]
1253531973 : 0 : [260, 1290, 260, 1251495367, 439184, 10, 1, 0, 1, 19, 116L, 27L, 86, 35143.1]
3124379191 : 1 : [186, 885, 187, 1353138059, 339, 0, 0, 220L, 0, 21, 118L, 15L, 35, 466586.0]
2138544434 : 1 : [0, 12, 3, 1316012234, 12, 0, 0, -1L, 1, 0, 0, 1L, 85, 580815.2]
2396818424 : 1 : [4, 24, 11, 1316109016, 14, 0, 0, -1L, 1, 0, 3L, 2L, 70, 1944352.4]
2530732515 : 0 : [91, 27654, 1185, 1323952966, 2101, 0, 0, 220L, 0, 0, 0, 0, 23, 1660.3]
2356990471 : 1 : [0, 11, 4, 1316012218, 11, 0, 0, -1L, 1, 0, 0, 0, 111, 407783.1]
2397185382 : 1 : [0, 14, 3, 1316119602, 40, 0, 0, -1L, 0, 0, 3L, 3L, 82, 505246.4]
2830406345 : 1 : [0, 2362, 1111, 1340554606, 146, 0, 0, -1L, 1, 62, 0, 0, 107, 189839.2]
1484083595 : 0 : [696, 8933, 984, 1258125809, 14463, 24, 1, 0, 1, 16, 2L, 2L, 44, 21206.0]
1422133740 : 1 : [1, 1, 3, 1309274677, 3, 0, 0, -1L, 1, 0, 0, 0, 69, 0.0]
2308965107 : 0 : [64, 10, 270, 1313679315, 5167, 107, 0, 220L, 1, 21, 0, 1L, 21, 445301.7]
1644734704 : 0 : [586, 19810, 803, 1252019933, 5876, 70, 1, 0, 1, 105, 2L, 1L, 31, 8491.9]
2396820710 : 1 : [0, 3, 1, 1316109065, 1, 0, 0, -1L, 1, 0, 3L, 3L, 64, 2376690.3333333335]
1715867062 : 0 : [184, 1843, 417, 1269228267, 463, 227, 0, -1L, 0, 26, 1L, 5L, 34, 255049.4]
2397153054 : 1 : [1, 15, 6, 1316119914, 37, 0, 0, -1L, 0, 0, 4L, 4L, 69, 908724.1]
1898608241 : 0 : [27, 51, 28, 1292909988, 919, 0, 0, -1L, 1, 0, 6L, 3L, 120, 1304531.3]
1927724631 : 0 : [263, 5265, 482, 1295490840, 14201, 64, 0, -1L, 1, 85, 2L, 3L, 26, 13489.8]
2099709313 : 0 : [118, 871, 1841, 1303485836, 22477, 0, 0, -1L, 0, 60, 6L, 5L, 4, 1252426.9]
2107824475 : 1 : [84, 486, 143, 1304231043, 303, 0, 0, -1L, 1, 24, 0, 1L, 24, 380352.0]
2618919420 : 1 : [3, 240, 19, 1324320819, 43, 0, 0, -1L, 0, 0, 0, 1L, 30, 101853.3]
1847645803 : 0 : [108, 475, 700, 1288932235, 302, 2030, 0, 220L, 0, 0, 0, 2L, 24, 280084.0]
1565403950 : 0 : [133, 1010, 555, 1262490848, 461, 946, 0, -1L, 0, 52, 3L, 1L, 38, 110518.5]
1898335735 : 0 : [903, 378, 1905, 1292890598, 1851, 262, 1, 0, 1, 16, 1L, 0, 48, 720790.2]
1061747461 : 0 : [1187, 479, 1941, 1277226787, 2898, 1, 1, 0, 1, 77, 2L, 3L, 86, 209160.3]
1685188223 : 0 : [416, 3208, 751, 1266174640, 155740, 28, 1, 0, 0, 105, 112L, 45L, 83, 120669.6]
3177270155 : 1 : [710, 487, 1342, 1354851566, 1098, 0, 0, 220L, 0, 13, 0, 0, 18, 93298.6]
1563926367 : 0 : [861, 3559, 970, 1253298371, 995668, 1032, 1, 0, 1, 14, 9817L, 954L, 30, 74748.2]
1784501333 : 0 : [585, 8495, 734, 1280171575, 572116, 2745, 0, -1L, 1, 50, 130L, 22L, 64, 1852.6]
1863792930 : 0 : [177, 2685, 313, 1288366002, 1093390, 30, 1, 0, 1, 79, 275L, 236L, 59, 109344.1]
2396295382 : 1 : [0, 16, 2, 1316094253, 35, 0, 0, -1L, 0, 0, 3L, 3L, 81, 484349.7]
1311026720 : 0 : [389, 4326, 1084, 1258492031, 3543, 9, 1, 0, 0, 7, 1L, 1L, 35, 78091.5]
1686123550 : 0 : [143, 1650, 192, 1264390078, 51586, 42, 1, 0, 1, 13, 9L, 8L, 67, 57341.7]
2025380047 : 0 : [343, 1551, 1519, 1300148446, 578, 637, 0, 220L, 0, 36, 1L, 1L, 19, 129106.7]
